npi,communityId,from_npi,providername,grouping,classification,specialization,to_npi,organization_name,patient_count,transaction_count,average_day_wait,std_day_wait,specialization_cleaned
1578597704,1381,1578597704,RUTH LAMAR,Allopathic & Osteopathic Physicians,Internal Medicine,Medical Oncology,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,92,127,47.079,57.144,Medical Oncology
1578597902,1374,1578597902,ANTHONY MONTEMURO,Allopathic & Osteopathic Physicians,Internal Medicine,Gastroenterology,1992776405,"HCA HEALTH SERVICES OF TENNESSEE, INC.",345,574,5.679,26.946,Gastroenterology
1578604906,1353,1578604906,RICHARD TYSON,Allopathic & Osteopathic Physicians,Internal Medicine,Pulmonary Disease,1215937982,SELECT SPECIALTY HOSPITAL - NASHVILLE LLC,66,361,0.942,8.07,Pulmonary Disease
1578604906,1353,1578604906,RICHARD TYSON,Allopathic & Osteopathic Physicians,Internal Medicine,Pulmonary Disease,1780778969,SAINT THOMAS WEST HOSPITAL,491,785,5.298,24.76,Pulmonary Disease
1578615522,1336,1578615522,PAUL LEAVITT,Allopathic & Osteopathic Physicians,Family Medicine,,1295780476,HTI MEMORIAL HOSPITAL CORPORATION,54,73,46.699,53.473,Family Medicine
1578615522,1336,1578615522,PAUL LEAVITT,Allopathic & Osteopathic Physicians,Family Medicine,,1538114434,HENDERSONVILLE HOSPITAL CORPORATION,357,630,26.463,41.777,Family Medicine
1578615522,1336,1578615522,PAUL LEAVITT,Allopathic & Osteopathic Physicians,Family Medicine,,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",40,61,34.475,35.927,Family Medicine
1578615522,1336,1578615522,PAUL LEAVITT,Allopathic & Osteopathic Physicians,Family Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,63,100,28.88,33.681,Family Medicine
1578615522,1336,1578615522,PAUL LEAVITT,Allopathic & Osteopathic Physicians,Family Medicine,,1447571658,SUMNER REGIONAL MEDICAL CENTER LLC,95,149,31.772,39.032,Family Medicine
1578650602,1359,1578650602,THOMAS TALBOT,Allopathic & Osteopathic Physicians,Internal Medicine,Infectious Disease,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,94,97,6.268,6.731,Infectious Disease
1578655791,1359,1578655791,JOHN BOONE,Allopathic & Osteopathic Physicians,Family Medicine,,1265445506,WILLIAMSON COUNTY HOSPITAL DISTRICT,137,213,40.568,52.365,Family Medicine
1578655791,1359,1578655791,JOHN BOONE,Allopathic & Osteopathic Physicians,Family Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,386,879,4.77,17.254,Family Medicine
1578677274,1340,1578677274,RANJAN CHANDA,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1720032345,"HCA HEALTH SERVICES OF TENNESSEE, INC.",67,103,13.515,34.509,Nephrology
1578677274,1340,1578677274,RANJAN CHANDA,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1295780476,HTI MEMORIAL HOSPITAL CORPORATION,67,107,27.636,43.609,Nephrology
1578677274,1340,1578677274,RANJAN CHANDA,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1982650024,"HCA HEALTH SERVICES OF TENNESSEE, INC.",28,53,19.849,35.774,Nephrology
1578677274,1340,1578677274,RANJAN CHANDA,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1629025648,SAINT THOMAS WEST HOSPITAL,62,84,39.417,53.024,Nephrology
